"Тэг";"Плюсы";"Закладки";"Комментарии";"Просмотры"
"безопасность веб-приложений";"7";"87";"4";"10300"
"тест-сессия";"9";"8";"0";"1700"
"арт-терапия";"20";"32";"9";"7100"
"PRNG";"70";"61";"31";"14100"
"java";"140";"285";"65";"40402"
"мероприятия";"14";"12";"33";"4300"
"jit";"40";"90";"18";"13600"
"ненормальное программирование";"24";"56";"10";"10400"
"stream processing";"19";"92";"4";"10300"
"тестирование аналитики";"12";"24";"5";"3500"
"тестирование";"41";"112";"9";"15900"
"double";"32";"41";"23";"5700"
"контур";"72";"195";"63";"28800"
"ulearn";"12";"33";"3";"4100"
"тестирование производительности";"16";"34";"8";"3200"
"метрики";"6";"35";"0";"3800"
"хакатон";"67";"85";"62";"18200"
"микрооптимизация";"24";"56";"10";"10400"
"тестирование сервиса";"9";"17";"0";"2300"
"анонс";"16";"35";"1";"4500"
"jit-компилятор";"72";"131";"41";"19300"
"kafka";"42";"103";"13";"12602"
"буткамп";"17";"38";"49";"6700"
"math";"32";"41";"23";"5700"
"приложения";"14";"12";"33";"4300"
"лайфхаки";"14";"15";"0";"2600"
"студентам";"20";"31";"10";"11700"
"clojure";"12";"6";"7";"802"
"Тестировщик ПО";"12";"33";"3";"4100"
"адаптация";"17";"38";"49";"6700"
"курсы для аналитиков";"11";"29";"0";"4400"
"трассировка";"12";"6";"7";"802"
"обучение";"37";"75";"49";"12800"
"dotnext";"61";"125";"26";"16000"
"userecho";"14";"15";"0";"2600"
"лайки";"14";"15";"0";"2600"
"java 11";"12";"6";"7";"802"
"java 10";"12";"6";"7";"802"
"compiler optimization";"26";"51";"11";"8500"
"геймджем";"20";"17";"5";"5100"
"оптимизация";"48";"75";"31";"8900"
"екатеринбург";"5";"7";"0";"1100"
"алгоритмы";"32";"68";"24";"8800"
"бенчмарки";"16";"34";"8";"3200"
"производительность";"24";"56";"10";"10400"
"стримы";"19";"92";"4";"10300"
"бэклог";"18";"56";"1";"6800"
"веб-приложения";"17";"133";"5";"8300"
"icfpc2017";"9";"2";"6";"1100"
"ГПСЧ";"70";"61";"31";"14100"
"service discovery";"12";"6";"7";"802"
"icfpc2018";"9";"2";"6";"1100"
"concurrency";"29";"57";"2";"7200"
"apache kafka";"31";"98";"11";"11102"
"наш опыт";"11";"29";"0";"4400"
"курс тестирования";"12";"33";"3";"4100"
"Bootcamp";"17";"38";"49";"6700"
"митап";"17";"13";"7";"1902"
"контест";"71";"131";"27";"19100"
"мамаяпохакала";"70";"61";"31";"14100"
"IT-подбор";"17";"38";"49";"6700"
"performance optimization";"26";"51";"11";"8500"
"codingame";"42";"112";"16";"12900"
"stringbuilder";"26";"51";"11";"8500"
"dotnext2017moscow";"61";"125";"26";"16000"
"icfpc";"9";"2";"6";"1100"
"библиотека";"18";"59";"7";"8300"
"microservices";"12";"6";"7";"802"
"spring";"12";"6";"7";"802"
"нагрузка на сервер";"9";"17";"0";"2300"
"webpack";"17";"133";"5";"8300"
"диалоги";"17";"21";"23";"4300"
"календарь";"20";"32";"9";"7100"
"высокая производительность";"11";"5";"2";"1500"
"стажировка";"20";"31";"10";"11700"
"jvm";"32";"41";"23";"5700"
"алиса";"17";"21";"23";"4300"
"jni";"12";"6";"7";"802"
"SPA";"17";"133";"5";"8300"
"intrinsic";"32";"41";"23";"5700"
"java native interface";"12";"6";"7";"802"
"spring framework";"12";"6";"7";"802"
"gamedev";"20";"17";"5";"5100"
"стажировка в скб контур";"20";"31";"10";"11700"
".net";"93";"72";"40";"16402"
"организация мероприятий";"14";"36";"2";"4000"
"тестирование веб-приложений";"21";"102";"4";"12900"
"игры";"14";"12";"33";"4300"
"joker2017";"32";"68";"24";"8800"
"spbdotnet";"11";"12";"3";"2000"
"string";"26";"51";"11";"8500"
"scala";"19";"92";"4";"10300"
"соревнования по программированию";"50";"64";"39";"13900"
"UralJS";"41";"83";"5";"10300"
"аналитика";"5";"7";"0";"1100"
"stream api";"24";"56";"10";"10400"
"concurrentdictionary";"29";"57";"2";"7200"
"видео";"12";"6";"7";"802"
"боты";"26";"77";"15";"8400"
"тестировщики";"12";"24";"5";"3500"
"foreach";"24";"56";"10";"10400"
"random";"70";"61";"31";"14100"
"java 9";"38";"57";"18";"9302"
"java 8";"26";"51";"11";"8500"
"асинхронное программирование";"11";"5";"2";"1500"
"clojurescript";"12";"6";"7";"802"
"календарь тестировщика";"112";"374";"21";"47500"
"rapidoid";"12";"6";"7";"802"
"ивенты";"14";"36";"2";"4000"
"java.ural.Meetup";"12";"6";"7";"802"
"тестирование веб-сервисов";"24";"91";"1";"10600"
"performance";"26";"51";"11";"8500"
"книги";"18";"59";"7";"8300"
"тестирование в контуре";"9";"8";"0";"1700"
"микросервисы";"23";"11";"9";"2302"
"соревнование";"62";"129";"21";"18000"
"joker";"32";"68";"24";"8800"
"потоковая обработка данных";"19";"92";"4";"10300"
